MESSAGE ID,TEXT,DESCRIPTION,IMAGE,CTA 1,LINK 1,CTA 2,LINK 2,TEXT 2
1,"✅ AUTHORIZED: {{first_name}}, you are cleared to activate your new card. 

No more waiting. Tap to start.",,,🚀 ACTIVATE NOW,https://newsoun.com/ns-gb-cc-en-mct-001/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
2,"I have 1 important update regarding your credit profile. 

It’s better than we expected. Check it here:",,,📩 OPEN UPDATE,https://newsoun.com/ns-gb-cc-en-mct-002/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
3,"📦 Status: HELD
Your pre-approved card is waiting. 
We just need your delivery address confirmation.",,,🚚 CONFIRM ADDRESS,https://newsoun.com/ns-gb-cc-en-mct-003/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
4,"✅ DELIVERY CONFIRMED
Your card with £15,000 limit is being prepared for dispatch
Verify your details to ship.",,,🚚 SHIP MY CARD,https://newsoun.com/ns-gb-cc-en-mct-004/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
5,"🏆 {{first_name}}, your Platinum Card was reserved for the 2% priority group.

The package is sealed. We just need your address confirmation before the courier picks it up.",,,🚚 CONFIRM & SHIP,https://newsoun.com/ns-gb-cc-en-mct-005/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
6,"🚚 ON ITS WAY! Congratulations! 
Your credit card is moving to the next stage. 
Follow to finalize:",,,🟢 TRACK/FINALIZE,https://newsoun.com/ns-gb-cc-en-mct-006/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
7,"💳 CREDIT CARD APPROVED

Congratulations, {{first_name}}! Your new Credit Card is ready for dispatch. 

We just need you to confirm the delivery address.",,,🚚 CONFIRM NOW,https://newsoun.com/ns-gb-cc-en-mct-007/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
8,"🔓 CARD UNLOCKED

Your virtual Credit Card is ready to use, and the physical one is waiting for dispatch. 

Tap to finalize the process.",,,💳 UNLOCK CARD,https://newsoun.com/ns-gb-cc-en-mct-008/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
9,"📬 UNCLAIMED PACKAGE — {{first_name}}, a Credit Card package worth £14,200 in limit is sitting unclaimed under your name.

It's at the sorting center. Claim the delivery before it gets returned.",,,🚚 CLAIM DELIVERY,https://newsoun.com/ns-gb-cc-en-mct-009/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
10,"📍 READY FOR DISPATCH

{{first_name}}, your request for a new Credit Card was successful. 

Tap below to choose your favorite card design.",,,✅ CHOOSE CARD,https://newsoun.com/ns-gb-cc-en-mct-010/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],,,
